"name","longitude","latitude","prov","date","key"
"Psammodromus algirus",-0.89,41.94,"gbif",NA,165005423
"Desmognathus fuscus",-83.23125,38.65278,"gbif","2014-04-26",1265546859
"Ctenotus taeniolatus",150.80815,-33.4192100316196,"gbif","2009-01-20",1070160137
"Varanus varius",152.89961,-29.8159900260205,"gbif","2011-10-18",1070769029
"Austrelaps superbus",145.93,-38.17,"gbif",NA,1272433659
"Ctenotus regius",141.05028,-33.2325500313482,"gbif","2009-11-13",1071606226
"Psammodromus algirus",-6.28,39.04,"gbif",NA,165006303
"Uta stansburiana",-117.0071,33.0027,"gbif","2016-06-14",1272115242
"Dipsosaurus dorsalis",-115.47335,35.01099,"gbif","2011-05-18",1143518654
"Pseudonaja textilis",150.98172,-34.1381200326404,"gbif","1998-01-16",1069663934
"Tiliqua nigrolutea",147.221037050327,-42.6286169344428,"gbif",NA,500723495
"Craugastor fleischmanni",-83.8335476192,9.27826475125656,"gbif","1965-02-15",686796935
"Hemiergis peronii",136.48731,-35.17421,"gbif","2006-05-31",501562859
"Rhinella marina",177.83052,-18.25052,"gbif","2012-10-05",932745286
"Ctenotus uber",117.77278,-26.89361,"gbif",NA,691946430
"Psammodromus hispanicus",-5.11,41.76,"gbif",NA,165009295
"Rhinella marina",143.30017,-12.71269,"gbif","2010-10-05",920805716
"Liolaemus quilmes",-65.99733,-25.16108,"gbif","2001-12-11",1249187753
"Egernia cunninghami",138.56945,-35.16117,"gbif","1999-11-24",501567002
"Rhinella marina",-97.452,20.068,"gbif","1998-01-25",370364322
"Amphibolurus muricatus",151.06393,-34.0786600325575,"gbif","2010-01-28",1070760723
"Psammodromus hispanicus",-3.51,37.27,"gbif",NA,165008824
"Bassiana duperreyi",137.2838,-35.64141,"gbif","1995-03-18",501567955
"Psammodromus hispanicus",-3.06,41.42,"gbif",NA,165009171
"Lepidophyma flavimaculatum",-89.0194,17.2031,"gbif",NA,476680714
"Lithobates pipiens",-97.1863,49.8286,"gbif","2001-05-14",44149472
"Heteronotia binoei",130.99432,-13.00635,"gbif","2013-09-27",1085957096
"Incilius marmoreus",-96.4428190734897,19.1998067079883,"gbif","1952-08-02",1145618048
"Tiliqua nigrolutea",147.231049115049,-43.3686217645611,"gbif",NA,500723497
"Rana cascadae",-121.6415,46.2747999990578,"gbif","1947-12-31",812633630
"Rhinella marina",-81.26438,25.89387,"gbif","2002-06-03",1136233033
"Pachymedusa dacnicolor",-99.3201052388206,18.6206554825168,"gbif","1950-08-18",686765672
"Incilius alvarius",-110.890429332907,29.2601632350225,"gbif","1962-06-28",657348554
"Rhinella marina",134.51883,7.4553,"gbif","2012-10-26",931030952
"Notechis scutatus",140.7,-38.05,"gbif","1985-02-17",500744506
"Ctenotus uber",122.13333,-32.38333,"gbif",NA,692106019
"Ctenotus taeniolatus",149.22225,-35.429020034364,"gbif","2009-01-22",1071680309
"Lithobates palmipes",-82.9333,9.5667,"gbif",NA,476544266
"Eurycea bislineata",-73.23282,41.21857,"gbif","2004-10-28",1039464302
"Egernia saxatilis",148.13,-37.35,"gbif","1977-09-20",1272444833
"Sceloporus merriami",-101.7037,29.95678,"gbif","2015-06-12",1098911139
"Tiliqua rugosa",130.29622,-31.46646,"gbif","2012-04-05",728021841
"Eurycea bislineata",-75.73,41.5699999990633,"gbif","1990-06-01",786484377
"Platysaurus intermedius",30.26667,-24.03333,"gbif","1910-06-30",287126914
"Anaxyrus cognatus",-97.9201474318093,36.1100253911201,"gbif","1975-08-14",786260831
"Psammodromus hispanicus",-6.19,41.38,"gbif",NA,165009310
"Hemiergis decresiensis",138.95174,-34.65715,"gbif","2000-01-05",501568176
"Sceloporus undulatus",-83.17156,38.70383,"gbif","2012-03-29",1262375549
"Pseudonaja textilis",151.06465,-34.0896100325728,"gbif","2003-06-05",1071746359
"Varanus varius",151.32866,-32.8895100308429,"gbif","2008-02-18",1071884145
"Anaxyrus cognatus",-102.60167,34.64722,"gbif","2008-09-04",675498697
"Moloch horridus",133.88,-21.53,"gbif",NA,478615619
"Psammodromus hispanicus",0.8,41.13,"gbif",NA,165009182
"Dendrobates auratus",-79.55,8.95,"gbif",NA,543624300
"Liolaemus darwinii",-66.07978,-40.29931,"gbif",NA,1211937577
"Amphibolurus muricatus",151.46194,-33.2373100313551,"gbif","2013-02-03",1071320772
"Sceloporus undulatus",-82.27406,39.47066,"gbif","2014-04-25",899980633
"Uta stansburiana",-103.08655,29.64888,"gbif","2016-05-31",1272086459
"Tiliqua rugosa",138.53572,-32.44641,"gbif","2015-10-18",1212000677
"Notechis scutatus",150.64023,-32.1285600296945,"gbif","2011-04-11",1070795209
"Liolaemus quilmes",-65.9667,-26.01218,"gbif","1991-01-10",476703242
"Notechis scutatus",148.88,-37.4,"gbif","1979-10-18",1272448539
"Anaxyrus cognatus",-104.11,32.23,"gbif",NA,174492629
"Lampropholis delicata",150.7505,-34.7156300334298,"gbif","2010-04-17",1071482745
"Lithobates pipiens",-87.6573,44.97425,"gbif","2003-04-10",620984105
"Egernia cunninghami",138.15333,-35.65611,"gbif","2000-02-24",500790819
"Psammodromus hispanicus",-3.06,36.82,"gbif",NA,165008250
"Zootoca vivipara",16.7601,59.5247,"gbif","2015-08-22",1135589679
"Egernia cunninghami",151.84665,-30.9245600278108,"gbif","1997-02-07",1071837235
"Moloch horridus",133.883,-24.15,"gbif","1975-08-31",1085954071
"Tiliqua rugosa",144.21188,-30.6300700273396,"gbif","2006-11-12",1070076055
"Incilius mazatlanensis",-105.450264305198,22.5304552281337,"gbif","1963-07-01",543691882
"Psammodromus algirus",2.82,42.14,"gbif",NA,165006894
"Lithobates pipiens",-93.6035,47.3423,"gbif","2002-05-13",29324383
"Incilius alvarius",-109.04,31.91,"gbif",NA,211172806
"Tiliqua nigrolutea",144.18,-38.4,"gbif","2007-01-10",478678311
"Plestiodon gilberti",-119.06972,35.38944,"gbif","2001-02-22",1145544164
"Zootoca vivipara",9.37497,52.1581,"gbif","2014-05-18",923885611
"Anaxyrus debilis",-107.95,31.86,"gbif",NA,174492926
"Lacerta agilis",16.8608,58.7665,"gbif","2014-05-03",931964472
"Desmognathus fuscus",-73.651147931578,42.3093898080075,"gbif","1994-04-18",1145535562
"Moloch horridus",139.484254952139,-20.7152784043837,"gbif","1997-12-31",1066573134
"Anolis intermedius",-83.98784,9.77885,"gbif","1987-08-11",1145516086
"Sceloporus undulatus",-106.17237,32.77969,"gbif","2005-06-26",1145566038
"Ctenotus taeniolatus",151.21134,-34.0116800324638,"gbif","2013-12-18",1071372257
"Amphibolurus muricatus",149.7359,-35.3416600342522,"gbif","2004-09-09",1070109483
"Pseudonaja textilis",147.23488,-35.9320200349935,"gbif","2004-03-15",1071918596
"Heteronotia binoei",131.67943,-30.00111,"gbif","2010-10-28",691153317
"Pachymedusa dacnicolor",-99.4701045661986,17.3607156487653,"gbif","1964-06-10",686792519
"Heteronotia binoei",142.67876,-34.1613700326727,"gbif","2014-02-02",1070896421
"Anaxyrus debilis",-98.00964,29.8643299991847,"gbif","1952-04-25",675523090
"Psammodromus hispanicus",-0.73,39.5,"gbif",NA,165009274
"Notechis scutatus",136.26013,-34.54248,"gbif","1999-12-31",501891694
"Sceloporus occidentalis",-121.77272,36.24722,"gbif","2016-03-13",1265555690
"Chamaeleo dilepis",16.65386,-9.81942,"gbif","2015-09-16",1211002764
"Heteronotia binoei",151.6125,-28.02889,"gbif","2011-02-24",1066592933
"Incilius mazatlanensis",-110.720416624027,27.9502114510202,"gbif","1960-09-05",686773166
"Hemiergis decresiensis",138.96448,-34.14136,"gbif","2003-10-25",501915663
"Liopholis inornata",133.416,-29.016,"gbif","1993-09-26",500765588
"Hemiergis peronii",140.41989,-37.8499,"gbif","2004-10-19",501562837
"Psammodromus hispanicus",0.8,40.95,"gbif",NA,165009181
"Hemiergis peronii",116.22444,-34.43889,"gbif","1998-01-01",476636625
"Pseudonaja textilis",147.21917,-28.97722,"gbif","2000-02-29",1066582726
"Anaxyrus cognatus",-107.18417,33.14861,"gbif","1970-09-01",657430150
"Psammodromus algirus",-6.62141,37.04175,"gbif","2009-03-27",1038793224
"Incilius marmoreus",-99.517,17.3,"gbif",NA,145326680
"Amphibolurus muricatus",150.71761,-35.1694600340296,"gbif","2008-03-10",1070405535
"Desmognathus fuscus",-79.45,41.6099999990632,"gbif","1989-08-14",786483357
"Pseudonaja textilis",137.69285,-34.50504,"gbif","2004-10-12",501553253
"Sceloporus undulatus",-82.33742,28.69108,"gbif","2000-03-24",543568147
"Liolaemus bibronii",-71.0169,-37.83337,"gbif","1988-01-24",382100204
"Eleutherodactylus coqui",-155.87991,19.44806,"gbif","2009-05-09",624020676
"Anolis carolinensis",-81.25002,29.51377,"gbif","2015-10-14",1144979169
"Parasuta flagellum",144.58,-37.5,"gbif","1958-09-08",478511023
"Sceloporus undulatus",-106.15275,33.50798,"gbif","1999-06-28",1145565932
"Tiliqua rugosa",137.68221,-34.3771,"gbif","2004-10-10",501553252
"Anaxyrus cognatus",-109.72,32.72,"gbif","1968-05-24",786163005
"Desmognathus fuscus",-84.79457,36.06015,"gbif","2000-07-23",476801514
"Lacerta agilis",9.83294,53.11587,"gbif","2014-07-15",1038700925
"Psammodromus algirus",-2.33,42.5,"gbif",NA,165005600
"Egernia striolata",150.75587,-30.806950027623,"gbif","2003-02-20",1072081262
"Liolaemus boulengeri",-67.25,-47.0333,"gbif","1980-03-02",686894158
"Hemiergis peronii",140.216,-37.3,"gbif","1995-03-07",500771700
"Pseudacris regilla",-123.91113,49.13051,"gbif","2015-03-02",1143533136
"Sceloporus occidentalis",-121.08638,36.59649,"gbif","2016-03-20",1262386382
"Anolis gundlachi",-66.99275,18.28522,"gbif","2008-07-30",1145578151
"Egernia saxatilis",146.783,-36.7,"gbif","1982-12-28",500740752
"Varanus varius",153.3773,-29.2000800250092,"gbif","2013-09-07",1070898203
"Liopholis inornata",141.373,-34.9568,"gbif","1987-11-08",1272457878
"Psammodromus algirus",-5.81,38.5,"gbif",NA,165006271
"Tiliqua nigrolutea",144,-39.95,"gbif","1968-02-25",500545641
"Varanus varius",149.30687,-30.696990027447,"gbif","2008-12-25",1071577589
"Notechis scutatus",152.25583,-30.3786,"gbif","1974-03-05",1100510319
"Pachymedusa dacnicolor",-0.983,-0.983,"gbif",NA,371107553
