"name","longitude","latitude","prov","date","key","rcID"
"Puma concolor",-121.67206,37.32077,"gbif","2018-08-12",1914195144,"136"
"Puma concolor",-122.805778,38.499535,"gbif","2018-08-10",1898817326,"137"
"Puma concolor",-124.599878,48.673714,"gbif","2018-08-19",1935579954,"138"
"Puma concolor",-122.694498,38.573327,"gbif","2018-08-06",1891302422,"139"
"Puma concolor",-65.309287,-33.575863,"gbif","2018-08-26",1899781839,"140"
"Puma concolor",-116.53407,32.703375,"gbif","2018-08-17",1898809287,"141"
"Puma concolor",-121.773353,36.683756,"gbif","2018-08-05",1898829842,"142"
"Puma concolor",-121.67251,37.32041,"gbif","2018-08-12",1931476767,"143"
"Puma concolor",-100.394578,21.263816,"gbif","2018-08-31",1945436356,"144"
"Puma concolor",-122.445282,38.490697,"gbif","2018-08-10",1898827795,"145"
"Puma concolor",-119.846817,41.206283,"gbif","2018-08-24",1899786298,"146"
"Puma concolor",-65.360822,-33.545306,"gbif","2018-08-04",1890697980,"147"
"Puma concolor",-120.842094,39.315872,"gbif","2018-08-08",1891306562,"148"
"Puma concolor",-122.883987,40.924775,"gbif","2018-08-09",1891337891,"149"
"Puma concolor",-117.12907,32.940075,"gbif","2018-08-16",1898818179,"150"
"Puma concolor",-110.880087,31.725088,"gbif","2018-08-01",1891312715,"151"
"Puma concolor",-116.625697,33.046682,"gbif","2018-08-12",1986613180,"152"
"Puma concolor",-121.502841,39.980858,"gbif","2018-08-14",1898838684,"153"
"Puma concolor",-117.129064,32.940092,"gbif","2018-08-16",1898818127,"154"
"Puma concolor",-117.129031,32.940101,"gbif","2018-08-16",1898818141,"155"
"Puma concolor",-122.882155,40.898392,"gbif","2018-08-08",1898798213,"156"
"Puma concolor",-121.438151,37.059533,"gbif","2018-09-19",1913711187,"157"
"Puma concolor",-122.462893,38.419346,"gbif","2018-09-03",1913201870,"158"
"Puma concolor",-118.848962,34.455203,"gbif","2018-09-17",1913714047,"159"
"Puma concolor",-119.1462,34.559,"gbif","2018-09-30",1914342178,"160"
"Puma concolor",-122.583765,38.500781,"gbif","2018-09-27",1931521032,"161"
"Puma concolor",-122.263465,37.911871,"gbif","2018-09-13",1913669691,"162"
"Puma concolor",-100.29448,21.38065,"gbif","2018-09-01",1945436196,"163"
"Puma concolor",-122.458346,38.432868,"gbif","2018-09-13",1913201985,"164"
